"filename", "language", "CMake", "C++", "Dart", "Markdown", "YAML", "Ruby", "JSON", "Groovy", "Properties", "XML", "HTML", "Swift", "comment", "blank", "total"
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/flutter/generated_plugins.cmake", "CMake", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/CMakeLists.txt", "CMake", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/jorgerangel/Documents/dev/NeuroFit/neurofit_app/windows/runner/win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 461, 540, 2196, 13, 29, 65, 248, 69, 8, 485, 19, 55, 646, 582, 5416
